Item,SA,A,D,SD
1. I enjoy exercise.,SA,A,D,SD
2. Exercise decreases feelings of stress and tension for me.,SA,A,D,SD
3. Exercise improves my mental health.,SA,A,D,SD
4. Exercising takes too much of my time.,SA,A,D,SD
5. I will prevent heart attacks by exercising.,SA,A,D,SD
6. Exercise tires me.,SA,A,D,SD
7. Exercise increases my muscle strength.,SA,A,D,SD
8. Exercise gives me a sense of personal accomplishment.,SA,A,D,SD
9. Places for me to exercise are too far away.,SA,A,D,SD
10. Exercising makes me feel relaxed.,SA,A,D,SD
11. Exercising lets me have contact with friends and persons I enjoy,SA,A,D,SD
12. I am too embarrassed to exercise.,SA,A,D,SD
13. Exercising will keep me from having high blood pressure.,SA,A,D,SD
14. It costs too much money to exercise.,SA,A,D,SD
15. Exercising increases my level of physical fitness.,SA,A,D,SD
16. Exercise facilities do not have convenient schedules for me.,SA,A,D,SD
17. My muscle tone is improved with exercise.,SA,A,D,SD
18. Exercising improves functioning of my cardiovascular system.,SA,A,D,SD
19. I am fatigued by exercise.,SA,A,D,SD
20. I have improved feelings of wellbeing from exercise.,SA,A,D,SD
21. My spouse (or significant other) does not encourage exercising.,SA,A,D,SD
22. Exercise increases my stamina.,SA,A,D,SD
23. Exercise improves my flexibility.,SA,A,D,SD
24. Exercise takes too much time from family relationships.,SA,A,D,SD
25. My disposition is improved by exercise.,SA,A,D,SD
26. Exercising helps me sleep better at night.,SA,A,D,SD
27. I will live longer if I exercise.,SA,A,D,SD
28. I think people in exercise clothes look funny.,SA,A,D,SD
29. Exercise helps me decrease fatigue.,SA,A,D,SD
30. Exercising is a good way for me to meet new people.,SA,A,D,SD
31. My physical endurance is improved by exercising.,SA,A,D,SD
32. Exercising improves my self-concept.,SA,A,D,SD
33. My family members do not encourage me to exercise.,SA,A,D,SD
34. Exercising increases my mental alertness.,SA,A,D,SD
35. Exercise allows me to carry out normal activities without becoming tired.,SA,A,D,SD
36. Exercise improves the quality of my work.,SA,A,D,SD
37. Exercise takes too much time from my family responsibilities.,SA,A,D,SD
38. Exercise is good entertainment for me.,SA,A,D,SD
39. Exercising increases my acceptance by others.,SA,A,D,SD
40. Exercise is hard work for me.,SA,A,D,SD
41. Exercise improves overall body functioning for me.,SA,A,D,SD
42. There are too few places for me to exercise.,SA,A,D,SD
43. Exercise improves the way my body looks.,SA,A,D,SD
